variables_decoder_config_decoder_top_k,global_energy_metrics_global_derived_quantities_joules_per_flop,global_energy_metrics_per-process_emissions_1,global_energy_metrics_per-process_emissions_3,setup_gpu_model,global_energy_metrics_local_process_results_gpu_energy_process_3,global_energy_metrics_local_process_results_cpu_power_process_2,global_energy_metrics_local_process_results_ram_energy_process_1,compute_metrics_memory_gpu_current_memory_allocated_bytes,variables_query_rate,compute_metrics_compute_utilisation_gpu_utilization_percent_0,variables_backend,global_energy_metrics_local_process_results_gpu_power_process_0,global_energy_metrics_local_process_results_cpu_energy_process_2,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,compute_metrics_flops,variables_quantisation_quantization,setup_os,compute_metrics_memory_gpu_current_memory_reserved_bytes,setup_task_type,global_energy_metrics_local_process_results_ram_power_process_0,global_energy_metrics_local_process_results_gpu_power_process_3,global_energy_metrics_local_process_results_total_energy_joules_process_0,compute_metrics_compute_utilisation_gpu_utilization_percent_1,global_energy_metrics_global_experiment_results_total_energy_joules,global_energy_metrics_experiment_id,variables_batching_options_batch_size___fixed_batching,global_energy_metrics_local_process_results_total_energy_kwh_process_3,variables_decoder_config_decoder_temperature,setup_cpu_model,setup_region,global_energy_metrics_local_process_results_cpu_power_process_3,global_energy_metrics_global_experiment_results_gpu_energy_total,compute_metrics_compute_utilisation_cpu_usage_percent,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_local_process_results_cpu_power_process_0,global_energy_metrics_local_process_results_gpu_energy_process_2,compute_metrics_compute_utilisation_gpu_utilization_percent_3,inference_metrics_inference_performance_average_latency_ms_per_batch,global_energy_metrics_local_process_results_ram_energy_process_0,variables_sharding_config_fsdp_config_cpu_offload,global_energy_metrics_local_process_results_gpu_power_process_2,global_energy_metrics_global_experiment_results_total_energy_kwh,model_architecture_total_params,variables_quantisation_cached_flops_for_quantised_models,setup_is_encoder_decoder,variables_accelerate_config_distributed_type,global_energy_metrics_local_process_results_ram_power_process_1,variables_batching_options_adaptive_batching,compute_metrics_compute_utilisation_gpu_utilization_percent_2,variables_quantisation_load_in_8bit,global_energy_metrics_local_process_results_ram_energy_process_2,model_architecture_architecture,global_energy_metrics_local_process_results_ram_power_process_2,variables_number_input_prompts,global_energy_metrics_local_process_results_total_energy_joules_process_1,setup_experiment_id,global_energy_metrics_global_derived_quantities_tokens_per_joule,global_energy_metrics_local_process_results_cpu_energy_process_1,global_energy_metrics_local_process_results_total_energy_kwh_process_0,variables_config_name,variables_decoder_config_decoding_mode,inference_metrics_inference_performance_total_inference_time_sec,variables_decode_token_to_text,global_energy_metrics_per-process_emissions_0,setup_date_time,inference_metrics_inference_performance_throughput_tokens_per_sec,setup_model,global_energy_metrics_local_process_results_cpu_power_process_1,global_energy_metrics_global_derived_quantities_flops_per_joule,setup_available_cpu_count,global_energy_metrics_global_experiment_results_gpu_power_avg,variables_latency_simulation_burst_interval,global_energy_metrics_local_process_results_ram_energy_process_3,variables_max_input_tokens,global_energy_metrics_local_process_results_gpu_energy_process_1,variables_sharding_config_fsdp_config_use_orig_params,setup_country,variables_fp_precision,inference_metrics_raw_inference_metrics_number_input_prompts,variables_max_output_tokens,variables_sharding_config_sharding_strategy,global_energy_metrics_global_experiment_results_ram_power_avg,global_energy_metrics_per-process_emissions_2,global_energy_metrics_local_process_results_ram_power_process_3,inference_metrics_raw_inference_metrics_total_input_tokens,variables_latency_simulation_simulate,variables_latency_simulation_burst_size,variables_accelerate_config_num_processes,inference_metrics_inference_performance_throughput_queries_per_sec,variables_latency_simulation_simulate_burst,variables_latency_simulation_delay_max,global_energy_metrics_global_experiment_results_ram_energy_total,global_energy_metrics_global_derived_quantities_joules_per_token,variables_quantisation_load_in_4bit,global_energy_metrics_local_process_results_cpu_energy_process_3,setup_available_gpu_count,global_energy_metrics_local_process_results_total_energy_kwh_process_2,global_energy_metrics_global_experiment_results_cpu_energy_total,global_energy_metrics_local_process_results_total_energy_joules_process_2,inference_metrics_raw_inference_metrics_total_generated_tokens,variables_batching_options_adaptive_max_tokens,variables_batching_options_max_batch_size___adaptive_batching,global_energy_metrics_local_process_results_total_energy_kwh_process_1,variables_inference_type,global_energy_metrics_local_process_results_cpu_energy_process_0,variables_latency_simulation_delay_min,variables_decoder_config_decoder_top_p,global_energy_metrics_local_process_results_total_energy_joules_process_3,setup_python_version,setup_cycle_id,global_energy_metrics_local_process_results_gpu_energy_process_0,compute_metrics_memory_gpu_max_memory_reserved_bytes,global_energy_metrics_global_experiment_results_cpu_power_avg,global_energy_metrics_local_process_results_gpu_power_process_1
,4.020640764703635e-09,0.0018030327602269712,0.0018200434675725294,4 x NVIDIA A100-PCIE-40GB,0.0032548839927935003,112.5,7.348750607939298e-06,2039069696,1.0,14.0,pytorch,217.22539518010063,0.0014859847148125025,1902796800,16949970993152,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,3351248896,text_generation,0.6641664505004883,1157.2819254765636,17031.450345875954,100.0,68149.74433561109,1901,16,0.004777643962652656,1.0,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.012901188098719762,2.3,2039069696,112.5,0.003195442834130091,100.0,6082.22827075042,6.911861950158061e-06,False,106.62854136984814,0.01893048453766975,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.7010607719421387,False,100.0,True,7.464019877608925e-06,Unknown (no config attribute),0.6999678611755371,128,17038.766076432854,1901,0.2404117603041201,0.0015002111902808796,0.004730958429409987,precis_float16_quant_True_quant8_True_quant_False,,48.65782616600336,True,0.0018022586136837346,"April 20, 2025 at 12:53:38 PM",336.7187005869018,meta-llama/Llama-3.2-1B,112.5,248716574.92477095,128,427.9346202546011,0.0,7.610461358331779e-06,128,0.0032254306358980855,False,Germany,torch.float16,128,128,NO_SHARD,0.6915099620819092,0.0017862332431420559,0.7008447647094727,16384,False,0,4,2.63061484833517,False,0,2.9335093794038064e-05,4.159530293921575,False,0.001515149508500827,4,0.004688891568820202,0.005999961345155953,16880.009647752726,16384,0,0,0.004732990576786904,pure_generative,0.0014986159315617444,0,,17199.518265549563,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.0032254306358980855,3351248896,112.5,230.602618991892
,3.5470782256869135e-09,0.0019158921837232597,0.0019012071651189587,4 x NVIDIA A100-PCIE-40GB,0.004384457118673746,112.5,3.29392662621589e-06,9907380736,1.0,0.0,pytorch,943.7472442920545,0.0006064467361870812,1876463616,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6534018516540528,707.7520376046692,17686.071747086924,100.0,71823.45086783865,1902,16,0.004990700000312268,1.2,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.017529569579198823,2.3,9907380736,112.5,0.0044084771378900545,100.0,2390.172713251559,2.979283713806259e-06,False,727.908913627326,0.019950958574399626,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.7048602104187012,False,100.0,,3.2885774099253935e-06,Unknown (no config attribute),0.7041463851928711,128,18105.294294274143,1902,0.2281149095738657,0.0006084173433123396,0.004912797707524146,decoding_top_p_topp_0.7_temp_1.2,top_p,19.12138170601247,True,0.0018715302866813236,"April 20, 2025 at 12:54:31 PM",856.841846049664,meta-llama/Llama-3.2-1B,112.5,281922172.6654601,128,762.1180354339981,0.0,3.2724565762556147e-06,128,0.0044175371451375955,False,Germany,torch.float32,128,128,NO_SHARD,0.6916762590408325,0.0019116880333939958,0.7042965888977051,16384,False,0,4,6.694076922263,False,0,1.2834244326203159e-05,4.38375554613273,,0.0006029704250622672,4,0.005018212451487061,0.0024085547508746006,18065.564825353416,16384,0,0,0.005029248415076151,pure_generative,0.0005907202463129125,0,0.7,17966.520001124165,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.004319098177497427,14487126016,112.5,669.063946211943
,3.5559698519061133e-09,0.0019104526675691694,0.0018878807658803268,4 x NVIDIA A100-PCIE-40GB,0.004358109875373772,112.5,3.2459653435873882e-06,9907380736,1.0,0.0,pytorch,720.8743640371572,0.000602603759250087,1900867584,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6621608734130859,922.7959346939476,18101.202394431137,100.0,72003.49405782671,1903,16,0.004955717983673256,1.4,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.017586705458242147,2.4,9907380736,112.5,0.0044090990828322685,100.0,2452.329089498562,3.084013416928852e-06,False,735.1157368022078,0.02000097057161853,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.7047486305236816,False,100.0,,3.266753846689209e-06,Unknown (no config attribute),0.7056598663330078,128,18007.816376827293,1903,0.2275445131432351,0.0005994295086256897,0.005028111776230871,decoding_top_p_topp_0.9_temp_1.4,top_p,19.618632715988497,True,0.0019154591811551506,"April 20, 2025 at 12:55:22 PM",835.1244573046936,meta-llama/Llama-3.2-1B,112.5,281217232.3294496,128,807.6588782316132,0.0,3.2356645178898082e-06,128,0.004399495741816084,False,Germany,torch.float32,128,128,NO_SHARD,0.6948097944259644,0.0019055771246534329,0.7066698074340821,16384,False,0,4,6.524409822692919,False,0,1.2832397125095258e-05,4.3947445103654,,0.0005943724437815945,4,0.005014969595929044,0.002401432716251293,18053.89054534456,16384,0,0,0.00500217121578536,pure_generative,0.0006050270045939217,0,0.9,17840.58474122372,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.004420000758220022,14487126016,112.5,851.84947739314
,3.6613695989279537e-09,0.001961099845774232,0.0019472498973695342,4 x NVIDIA A100-PCIE-40GB,0.004493096094474014,112.5,3.7078773375235497e-06,9907380736,1.0,11.0,pytorch,528.2777455901053,0.0006814821125626623,1892945920,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6601281166076661,457.27103562534944,18532.509370750056,100.0,74137.69383297821,1904,16,0.0051860590419803565,1.0,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.01785099122522693,2.5,9907380736,112.5,0.004462883848082244,100.0,2759.4878911249907,3.680352164795255e-06,False,827.9327640707291,0.02059380384249395,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.7030220031738281,False,100.0,,3.8966423525673854e-06,Unknown (no config attribute),0.7036099433898926,128,18401.626540307974,1904,0.22099419543465765,0.0006757276159373759,0.005147919269652794,latency_burst_0.4_0.5_6.0_10,,22.075903128999926,True,0.0019756291920424167,"April 20, 2025 at 12:56:17 PM",742.1666920832436,meta-llama/Llama-3.2-1B,112.5,273121839.5140439,128,673.8876504207526,6.0,3.754058194003299e-06,128,0.004432127434588429,False,Germany,torch.float32,128,128,NO_SHARD,0.6924751996994019,0.0019612306386118873,0.7031407356262207,16384,True,10,4,5.79817728190034,True,0.5,1.503893004888949e-05,4.525005727110487,,0.0006892088893123401,4,0.005148262602997473,0.0027277736872181324,18533.7453707909,16384,0,0,0.005111562927863326,pure_generative,0.000681355069405754,0.4,,18669.812551129282,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.004462883848082244,14487126016,112.5,882.0690563968263
,3.6792722022731963e-09,0.0019639157964911067,0.001972670639475103,4 x NVIDIA A100-PCIE-40GB,0.004464440793772617,112.5,3.7889424043778355e-06,9907380736,1.0,0.0,pytorch,762.5623302632379,0.0006885280255619365,1892372480,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6597161293029785,718.9963946940823,18641.85405462756,100.0,74500.19690450955,1905,16,0.0051553111864840705,1.0,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.01792354156104592,14.3,9907380736,112.5,0.004488624424230148,100.0,2783.0078990027687,3.543332044129323e-06,False,852.5197976787169,0.020694499140141542,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.7047815322875977,False,100.0,,3.7222925917180847e-06,Unknown (no config attribute),0.6929783821105957,128,18648.073505957647,1905,0.2199188818386635,0.0006905342762506734,0.005178292792952101,latency_burst_0.4_0.5_2.0_10,,22.26406319202215,True,0.001973654233111109,"April 20, 2025 at 12:57:16 PM",735.8944258598249,meta-llama/Llama-3.2-1B,112.5,271792883.21808904,128,746.2370629717685,2.0,3.740133398572001e-06,128,0.004485697199666516,False,Germany,torch.float32,128,128,NO_SHARD,0.6899142265319824,0.0019733287783596015,0.7021808624267578,16384,True,10,4,5.749175202029882,True,0.5,1.4794700438797245e-05,4.5471311587225065,,0.0006871302593128803,4,0.005180874742383801,0.002756162878656824,18651.149072581684,16384,0,0,0.005180020418321569,pure_generative,0.0006899703175313335,0.4,,18559.120271342654,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.004484779143376638,14487126016,112.5,650.8697292510371
,3.636637447655256e-09,0.001985989852432738,0.0019182073793025316,4 x NVIDIA A100-PCIE-40GB,0.004585618112935785,112.5,3.2643404063759705e-06,9907380736,1.0,11.0,pytorch,800.9121730502129,0.0005933493760931014,1904955392,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6640491485595703,447.757497714753,18383.628124650986,100.0,73636.90181803849,1906,16,0.005213255945485597,1.4,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.018017571358490025,3.2,9907380736,112.5,0.004438727439868062,100.0,2433.9712658766075,3.104920420792668e-06,False,853.147518329722,0.020454694949455135,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.6997261047363281,False,100.0,,3.2490254944895233e-06,Unknown (no config attribute),0.7051477432250978,128,18358.379260399,1906,0.2224971392806003,0.0006030146373127536,0.005106563367958607,decoding_top_p_topp_0.5_temp_1.4,top_p,19.47177012701286,True,0.001942673494235833,"April 20, 2025 at 12:58:09 PM",841.4232446833763,meta-llama/Llama-3.2-1B,112.5,274979294.5801501,128,719.7635972163725,0.0,3.3864655505538264e-06,128,0.004493270816836148,False,Germany,torch.float32,128,128,NO_SHARD,0.6920464038848877,0.0019453453150238313,0.6992626190185547,16384,False,0,4,6.573619099088877,False,0,1.3004751872211988e-05,4.494439808229888,,0.0006242513669992603,4,0.0050353258414556545,0.0024241188390928983,18127.173029240355,16384,0,0,0.005099549794555278,pure_generative,0.0006035034586877829,0,0.5,18767.72140374815,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.00449995498885003,14487126016,112.5,777.2371997708025
,3.4610710345136402e-09,0.0018563748468013298,0.0018498966725782975,4 x NVIDIA A100-PCIE-40GB,0.004284254816290023,112.5,2.9906962045559283e-06,9907380736,1.0,5.0,pytorch,862.2103126496065,0.0005688212447810203,1867329536,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.650672435760498,846.9583207038089,17542.851945097224,100.0,70081.92365121852,1907,16,0.004856009115575003,0.0,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.017177521242006888,2.4,9907380736,112.5,0.004291983711362191,100.0,2304.4704318772347,2.824592097980244e-06,False,921.4008146283037,0.019467201014227362,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.6901617050170898,False,100.0,,3.049853851191233e-06,Unknown (no config attribute),0.700993537902832,128,17547.561574071427,1907,0.23378353712919425,0.0005702154668133518,0.004873014429193673,decoding_top_p_topp_0.3_temp_0.0,top_p,18.435763455017877,True,0.0018568732171229197,"April 20, 2025 at 12:59:00 PM",888.7074321590178,meta-llama/Llama-3.2-1B,112.5,288927904.11639816,128,873.3555886742373,0.0,3.0085635037306546e-06,128,0.004301116496446378,False,Germany,torch.float32,128,128,NO_SHARD,0.6841217279434204,0.0018528854898673679,0.6946592330932617,16384,False,0,4,6.9430268137423266,False,0,1.1873705657458061e-05,4.277461160352693,,0.0005687457357812491,4,0.004863854809994403,0.0022778060665630167,17509.87731597985,16384,0,0,0.004874322659464286,pure_generative,0.0005700236191873955,0,0.3,17481.63281607001,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.004300166217908297,14487126016,112.5,862.8529067152302
300,3.823583047741141e-09,0.0019209987160876904,0.0019208452223591903,4 x NVIDIA A100-PCIE-40GB,0.005564287784759481,112.5,3.140728722736201e-06,9907380736,1.0,7.0,pytorch,936.0646285901133,0.0005847768281255412,1876537344,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6531200408935547,406.0223612183429,17908.406659576973,100.0,77422.29285494662,1908,16,0.006446731685200229,0.2,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.018868901206218647,2.6,9907380736,112.5,0.004454325230123679,100.0,2328.7813763754457,2.8864826601148475e-06,False,911.4284795362177,0.021506192459707394,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.7031636238098145,False,100.0,,3.148164507547166e-06,Unknown (no config attribute),0.7049760818481445,128,18153.551326724464,1908,0.21161863587140203,0.0005842013533440422,0.004974557405438048,decoding_top_k_topk_300_temp_0.2,top_k,18.630251011003566,True,0.0018950576436016244,"April 20, 2025 at 01:00:02 PM",879.4299116164959,meta-llama/Llama-3.2-1B,112.5,261534792.7621894,128,785.5340099061137,0.0,4.889689877799476e-06,128,0.004455311064245571,False,Germany,torch.float32,128,128,NO_SHARD,0.6915410757064819,0.002455882435477027,0.7049045562744142,16384,False,0,4,6.870546184503874,False,0,1.406506576819769e-05,4.725481741634925,,0.0008775542105629485,4,0.005042250222756767,0.0026232261877205476,18152.10080192436,16384,0,0,0.005042653146312351,pure_generative,0.0005766937956880157,0,,23208.234066720823,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.004394977127089916,14487126016,112.5,888.6205702797812
,3.5896852863524116e-09,0.0016999864310991712,0.0016807470963478477,4 x NVIDIA A100-PCIE-40GB,0.005699105114835845,112.5,3.0846464598082813e-06,9907380736,1.0,0.0,pytorch,742.2316662987507,0.000582730874843719,1874755584,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6536293029785156,456.97962099280966,15883.159330232975,100.0,72686.18518989855,1910,16,0.0069144074243453115,0.2,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.01723841656849956,2.4,9907380736,112.5,0.0038766500457618758,100.0,2313.0426776251625,2.8821792133438077e-06,False,641.1041999882885,0.020190606997194042,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.7034897804260254,False,100.0,,3.111351606431374e-06,Unknown (no config attribute),0.6955676078796387,128,15846.18695205916,1910,0.2254073446996217,0.0005709297780624638,0.004411988702842493,decoding_greedy_temp_0.2,greedy,18.5043414210013,True,0.001676834699829705,"April 20, 2025 at 01:10:34 PM",885.4138403112881,meta-llama/Llama-3.2-1B,112.5,278575953.10705644,128,664.2935702864949,0.0,6.816792571893085e-06,128,0.0038277041732719397,False,Germany,torch.float32,128,128,NO_SHARD,0.6891124248504639,0.0026340435083043465,0.7037630081176759,16384,False,0,4,6.917295627431939,False,0,1.5894969851476548e-05,4.436412670281894,,0.0012084855169375716,4,0.004462492272212026,0.002936295458843006,16064.972179963292,16384,0,0,0.0044017185977942115,pure_generative,0.0005741492889992515,0,,24891.866727643122,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.003834957234629899,14487126016,112.5,816.8587938661303
,3.535460482613827e-09,0.00190390921157968,0.001900689707766973,4 x NVIDIA A100-PCIE-40GB,0.004389487956031779,112.5,3.198970625471568e-06,9907380736,1.0,3.0,pytorch,727.1857689915777,0.0006027994598127862,1877041152,20248623316992,,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,14487126016,text_generation,0.6546134948730469,725.2487869198436,17961.629998585384,100.0,71588.20756455812,1911,16,0.004997792916602389,1.2,AMD EPYC 7742 64-Core Processor,saxony,112.5,0.01746899480851738,2.4,9907380736,112.5,0.00438123850498795,100.0,2435.305722748126,3.0383642559070194e-06,False,755.6431082211348,0.019885613212377255,1235814400,16949970993152,False,DistributedType.MULTI_GPU,0.6998805999755859,False,100.0,,3.2674429703959994e-06,Unknown (no config attribute),0.7059173583984375,128,17680.22359822806,1911,0.22886450935686492,0.0005918980204685341,0.004989341666273718,decoding_top_p_topp_0.98_temp_1.2,top_p,19.482445781985007,True,0.0018709114388180503,"April 20, 2025 at 01:11:26 PM",840.9621760708262,meta-llama/Llama-3.2-1B,112.5,282848586.46211845,128,732.8624363573639,0.0,3.3049430705496186e-06,128,0.004316076230636012,False,Germany,torch.float32,128,128,NO_SHARD,0.6920052766799927,0.0018999139950904122,0.7076096534729004,16384,False,0,4,6.57001700055333,False,0,1.2809720922324207e-05,4.369397434360237,,0.0006050000175000605,4,0.00498730540777113,0.0024038086829375515,17954.29946797607,16384,0,0,0.004911173221730018,pure_generative,0.0006041111851561709,0,0.98,17992.054499768597,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1,0.0043821921168616385,14487126016,112.5,723.3720812968994
